CustomerID,Recency,Frequency,Monetary,LastPurchase,R,F,M,RFM_Score,Segment,AOV,Country
12379,81,2,852.24,2011-09-19 10:09:00,2,2,3,223,Hibernating,426.12,Belgium
12380,21,4,2724.81,2011-11-18 11:27:00,4,4,5,445,Champions,681.2025,Belgium
12381,4,5,1845.31,2011-12-05 12:44:00,5,4,4,544,Champions,369.062,Norway
12383,184,5,1850.56,2011-06-08 08:02:00,1,4,4,144,At Risk but Loyal,370.11199999999997,Belgium
12384,28,2,585.27,2011-11-11 08:39:00,4,2,3,423,New Customers,292.635,Switzerland
12386,337,2,401.9,2011-01-06 12:37:00,1,2,2,122,Hibernating,200.95,Australia
12388,15,6,2780.66,2011-11-24 12:30:00,4,4,5,445,Champions,463.4433333333333,Australia
12390,79,1,549.84,2011-09-21 09:33:00,2,1,3,213,Hibernating,549.84,Belgium
12391,21,1,439.66,2011-11-18 12:07:00,4,1,2,412,New Customers,439.66,Cyprus
12393,72,4,1582.6000000000001,2011-09-28 15:41:00,2,4,4,244,At Risk but Loyal,395.65000000000003,Australia
12394,63,2,1272.48,2011-10-07 08:08:00,3,2,4,324,Potential Loyalist,636.24,Belgium
12395,19,12,3018.63,2011-11-20 15:21:00,4,5,5,455,Champions,251.5525,Belgium
12397,35,2,2409.9,2011-11-04 09:52:00,3,2,5,325,Potential Loyalist,1204.95,Belgium
12398,45,1,1635.6599999999999,2011-10-25 10:27:00,3,1,4,314,Potential Loyalist,1635.6599999999999,Switzerland
12399,119,4,1108.65,2011-08-12 13:15:00,2,4,4,244,At Risk but Loyal,277.1625,Belgium
12401,303,1,84.3,2011-02-09 13:50:00,1,1,1,111,Hibernating,84.3,Belgium
12402,323,1,225.6,2011-01-20 13:49:00,1,1,1,111,Hibernating,225.6,Belgium
12403,49,1,427.7,2011-10-21 10:51:00,3,1,2,312,Potential Loyalist,427.7,Denmark
12405,148,1,1710.39,2011-07-14 08:52:00,2,1,4,214,Hibernating,1710.39,Finland
12406,22,2,3415.3,2011-11-17 19:22:00,4,2,5,425,New Customers,1707.65,Denmark
12407,49,5,1708.1200000000001,2011-10-21 10:11:00,3,4,4,344,Loyal,341.624,Belgium
12408,32,5,2888.55,2011-11-07 12:27:00,4,4,5,445,Champions,577.71,Belgium
12409,78,3,11072.67,2011-09-22 10:38:00,2,3,5,235,Potential Loyalist,3690.89,Switzerland
12410,308,2,693.3299999999999,2011-02-04 10:39:00,1,2,3,123,Hibernating,346.66499999999996,Switzerland
12412,74,3,1226.88,2011-09-26 10:16:00,2,3,4,234,Potential Loyalist,408.96000000000004,Denmark
12413,66,3,758.1,2011-10-04 09:00:00,3,3,3,333,Potential Loyalist,252.70000000000002,France
12414,217,3,562.41,2011-05-06 14:51:00,1,3,3,133,Potential Loyalist,187.47,Austria
12415,24,21,124914.53,2011-11-15 14:22:00,4,5,5,455,Champions,5948.310952380953,Australia
12417,3,9,3649.1,2011-12-06 14:52:00,5,5,5,555,Champions,405.4555555555555,Belgium
12418,112,1,668.58,2011-08-19 11:08:00,2,1,3,213,Hibernating,668.58,Switzerland
12420,63,1,600.39,2011-10-07 08:55:00,3,1,3,313,Potential Loyalist,600.39,Cyprus
12421,15,4,807.04,2011-11-24 09:07:00,4,4,3,443,Champions,201.76,Spain
12422,95,3,803.5600000000001,2011-09-05 09:48:00,2,3,3,233,Potential Loyalist,267.85333333333335,Australia
12423,0,8,1859.31,2011-12-09 10:10:00,5,5,4,554,Champions,232.41375,Belgium
12424,162,2,1760.96,2011-06-30 12:06:00,2,2,4,224,Hibernating,880.48,Australia
12425,78,1,777.2,2011-09-22 17:31:00,2,1,3,213,Hibernating,777.2,Portugal
12426,194,1,582.73,2011-05-29 12:26:00,1,1,3,113,Hibernating,582.73,Germany
12427,21,3,825.8,2011-11-18 08:56:00,4,3,3,433,Potential Loyalist,275.26666666666665,Germany
12428,25,9,7956.46,2011-11-14 08:22:00,4,5,5,455,Champions,884.0511111111111,Finland
12429,9,4,3750.4,2011-11-30 17:22:00,5,4,5,545,Champions,937.6,Denmark
12430,43,1,256.4,2011-10-27 15:09:00,3,1,2,312,Potential Loyalist,256.4,Norway
12431,35,15,6419.95,2011-11-04 11:55:00,3,5,5,355,Loyal,427.99666666666667,Australia
12432,42,5,5059.32,2011-10-28 11:43:00,3,4,5,345,Loyal,1011.8639999999999,Norway
12433,0,7,13375.87,2011-12-09 10:02:00,5,5,5,555,Champions,1910.8385714285716,Norway
12434,84,2,806.14,2011-09-16 12:38:00,2,2,3,223,Hibernating,403.07,Australia
12435,79,2,7829.89,2011-09-21 09:06:00,2,2,5,225,Hibernating,3914.945,Denmark
12436,99,1,509.01,2011-09-01 12:09:00,2,1,3,213,Hibernating,509.01,Norway
12437,1,18,4951.41,2011-12-08 11:35:00,5,5,5,555,Champions,275.0783333333333,France
12438,14,2,2906.85,2011-11-25 13:28:00,4,2,5,425,New Customers,1453.425,Norway
12441,366,1,173.55,2010-12-08 10:45:00,1,1,1,111,Hibernating,173.55,France
12442,3,1,172.06,2011-12-06 14:22:00,5,1,1,511,New Customers,172.06,Spain
12444,21,5,5005.46,2011-11-18 13:23:00,4,4,5,445,Champions,1001.092,Norway
12445,22,1,133.4,2011-11-17 18:43:00,4,1,1,411,New Customers,133.4,Spain
12446,57,1,1002.3100000000001,2011-10-13 12:50:00,3,1,4,314,Potential Loyalist,1002.3100000000001,RSA
12447,243,1,476.49,2011-04-10 13:25:00,1,1,2,112,Hibernating,476.49,Belgium
12448,44,1,449.45,2011-10-26 13:46:00,3,1,2,312,Potential Loyalist,449.45,Spain
12449,22,4,4067.29,2011-11-17 13:46:00,4,4,5,445,Champions,1016.8225,Belgium
12450,156,2,197.88,2011-07-06 14:41:00,2,2,1,221,Hibernating,98.94,Spain
12451,10,5,9035.52,2011-11-29 08:40:00,5,4,5,545,Champions,1807.104,Switzerland
12452,16,2,430.57,2011-11-23 10:28:00,4,2,2,422,New Customers,215.285,Switzerland
12453,134,1,707.09,2011-07-28 14:08:00,2,1,3,213,Hibernating,707.09,Austria
12454,56,1,3528.34,2011-10-14 17:13:00,3,1,5,315,Potential Loyalist,3528.34,Spain
12455,73,6,2466.86,2011-09-27 15:31:00,2,4,5,245,At Risk but Loyal,411.1433333333334,Cyprus
12456,44,3,3181.04,2011-10-26 14:41:00,3,3,5,335,Potential Loyalist,1060.3466666666666,Switzerland
12457,66,7,2363.23,2011-10-04 13:13:00,3,5,5,355,Loyal,337.6042857142857,Switzerland
12458,71,2,947.4,2011-09-29 15:25:00,3,2,4,324,Potential Loyalist,473.7,Switzerland
12461,94,2,826.88,2011-09-06 16:57:00,2,2,3,223,Hibernating,413.44,Switzerland
12462,18,2,1189.59,2011-11-21 09:11:00,4,2,4,424,New Customers,594.795,Spain
12463,53,4,1344.78,2011-10-17 13:44:00,3,4,4,344,Loyal,336.195,Belgium
12464,10,8,1212.05,2011-11-29 13:33:00,5,5,4,554,Champions,151.50625,Belgium
12465,17,2,742.1899999999999,2011-11-22 16:34:00,4,2,3,423,New Customers,371.09499999999997,Belgium
12468,187,2,729.5400000000001,2011-06-05 11:36:00,1,2,3,123,Hibernating,364.77000000000004,Germany
12471,2,30,19788.65,2011-12-07 15:43:00,5,5,5,555,Champions,659.6216666666667,Germany
12472,32,7,6572.11,2011-11-07 14:01:00,4,5,5,455,Champions,938.8728571428571,Germany
12473,29,5,3928.0499999999997,2011-11-10 13:46:00,4,4,5,445,Champions,785.6099999999999,Germany
12474,17,18,7324.09,2011-11-22 14:39:00,4,5,5,455,Champions,406.8938888888889,Germany
12475,53,1,723.38,2011-10-17 10:10:00,3,1,3,313,Potential Loyalist,723.38,Germany
12476,15,11,6816.42,2011-11-24 12:40:00,4,5,5,455,Champions,619.6745454545454,Germany
12477,22,6,13219.74,2011-11-17 09:51:00,4,4,5,445,Champions,2203.29,Germany
12478,3,1,680.99,2011-12-06 09:56:00,5,1,3,513,New Customers,680.99,Greece
12479,11,1,527.2,2011-11-28 13:26:00,5,1,3,513,New Customers,527.2,Germany
12480,28,4,3281.63,2011-11-11 14:52:00,4,4,5,445,Champions,820.4075,Germany
12481,22,10,5579.82,2011-11-17 08:29:00,4,5,5,455,Champions,557.982,Germany
12483,17,8,2484.98,2011-11-22 17:02:00,4,5,5,455,Champions,310.6225,Sweden
12484,32,6,4527.32,2011-11-07 11:37:00,4,4,5,445,Champions,754.5533333333333,Spain
12488,9,3,1298.66,2011-11-30 08:50:00,5,3,4,534,Potential Loyalist,432.8866666666667,France
12489,336,1,334.93,2011-01-07 13:13:00,1,1,2,112,Hibernating,334.93,France
12490,5,10,5417.93,2011-12-04 16:07:00,5,5,5,555,Champions,541.793,France
12491,38,1,460.40000000000003,2011-11-01 12:18:00,3,1,2,312,Potential Loyalist,460.40000000000003,France
12492,63,2,263.21000000000004,2011-10-07 15:15:00,3,2,2,322,Potential Loyalist,131.60500000000002,Germany
12493,165,2,433.74,2011-06-27 10:17:00,2,2,2,222,Hibernating,216.87,France
12494,15,7,1246.1000000000001,2011-11-24 09:34:00,4,5,4,454,Champions,178.01428571428573,France
12497,81,1,1043.1,2011-09-19 12:29:00,2,1,4,214,Hibernating,1043.1,Germany
12498,21,3,403.70000000000005,2011-11-18 12:53:00,4,3,2,432,Potential Loyalist,134.5666666666667,Germany
12500,23,11,4257.82,2011-11-16 16:20:00,4,5,5,455,Champions,387.07454545454544,Germany
12501,336,1,2169.39,2011-01-07 12:28:00,1,1,5,115,Hibernating,2169.39,Germany
12502,95,5,3723.87,2011-09-05 11:52:00,2,4,5,245,At Risk but Loyal,744.774,Spain
12504,18,2,482.04999999999995,2011-11-21 16:02:00,4,2,2,422,New Customers,241.02499999999998,Germany
12506,232,1,73.5,2011-04-21 08:54:00,1,1,1,111,Hibernating,73.5,France
12507,134,3,1304.81,2011-07-28 17:09:00,2,3,4,234,Potential Loyalist,434.93666666666667,Spain
12508,26,2,397.88,2011-11-13 15:37:00,4,2,2,422,New Customers,198.94,France
12509,284,1,176.5,2011-02-28 14:45:00,1,1,1,111,Hibernating,176.5,France
12510,142,2,982.5699999999999,2011-07-20 10:15:00,2,2,4,224,Hibernating,491.28499999999997,Spain
12512,66,2,132.18,2011-10-04 14:55:00,3,2,1,321,Potential Loyalist,66.09,Israel
12513,112,1,612.29,2011-08-19 10:51:00,2,1,3,213,Hibernating,612.29,France
12514,267,1,1017.68,2011-03-17 16:38:00,1,1,4,114,Hibernating,1017.68,Italy
12515,353,1,383.7,2010-12-21 15:43:00,1,1,2,112,Hibernating,383.7,Italy
12516,77,2,1312.06,2011-09-23 09:13:00,2,2,4,224,Hibernating,656.03,Germany
12517,28,5,2481.6,2011-11-11 14:04:00,4,4,5,445,Champions,496.32,Germany
12518,0,5,2056.89,2011-12-09 10:13:00,5,4,5,545,Champions,411.378,Germany
12519,63,1,330.84,2011-10-07 09:26:00,3,1,2,312,Potential Loyalist,330.84,Germany
12520,79,5,2634.26,2011-09-21 15:23:00,2,4,5,245,At Risk but Loyal,526.8520000000001,Germany
12521,142,1,599.68,2011-07-20 10:51:00,2,1,3,213,Hibernating,599.68,Germany
12522,39,2,192.72,2011-10-31 15:30:00,3,2,1,321,Potential Loyalist,96.36,Germany
12523,19,11,1789.77,2011-11-20 12:55:00,4,5,4,454,Champions,162.70636363636365,France
12524,9,8,4485.72,2011-11-30 15:31:00,5,5,5,555,Champions,560.715,Germany
12526,0,3,1316.66,2011-12-09 12:09:00,5,3,4,534,Potential Loyalist,438.8866666666667,Germany
12527,81,3,348.71000000000004,2011-09-19 11:55:00,2,3,2,232,Potential Loyalist,116.23666666666668,Germany
12528,9,6,1933.48,2011-11-30 14:40:00,5,5,4,554,Champions,322.24666666666667,Germany
12530,59,4,1662.28,2011-10-11 12:34:00,3,4,4,344,Loyal,415.57,Germany
12531,14,1,125.22,2011-11-25 11:12:00,4,1,1,411,New Customers,125.22,Germany
12532,30,1,349.83000000000004,2011-11-09 13:47:00,4,1,2,412,New Customers,349.83000000000004,France
12534,130,1,1089.18,2011-08-01 10:26:00,2,1,4,214,Hibernating,1089.18,Germany
12535,91,2,716.35,2011-09-09 08:48:00,2,2,3,223,Hibernating,358.175,France
12536,43,3,12601.830000000002,2011-10-27 14:20:00,3,3,5,335,Potential Loyalist,4200.610000000001,France
12538,29,1,363.95,2011-11-10 17:16:00,4,1,2,412,New Customers,363.95,Spain
12539,22,4,5568.35,2011-11-17 13:30:00,4,4,5,445,Champions,1392.0875,Spain
12540,19,17,13400.24,2011-11-20 11:31:00,4,5,5,455,Champions,788.2494117647059,Spain
12541,29,3,981.18,2011-11-10 10:40:00,4,3,4,434,Potential Loyalist,327.06,Spain
12544,36,1,372.7,2011-11-03 16:15:00,3,1,2,312,Potential Loyalist,372.7,Spain
12545,75,2,1000.39,2011-09-25 13:39:00,2,2,4,224,Hibernating,500.195,Spain
12546,46,2,1161.5,2011-10-24 12:09:00,3,2,4,324,Potential Loyalist,580.75,Spain
12547,197,2,207.79999999999998,2011-05-26 12:38:00,1,2,1,121,Hibernating,103.89999999999999,Spain
12548,166,1,95.19999999999999,2011-06-26 15:35:00,2,1,1,211,Hibernating,95.19999999999999,Spain
12550,79,1,964.83,2011-09-21 14:35:00,2,1,4,214,Hibernating,964.83,Spain
12551,357,1,168.0,2010-12-17 11:23:00,1,1,1,111,Hibernating,168.0,Spain
12552,38,2,437.82,2011-11-01 10:02:00,3,2,2,322,Potential Loyalist,218.91,Italy
12553,8,10,3692.28,2011-12-01 16:38:00,5,5,5,555,Champions,369.228,France
12556,50,2,599.56,2011-10-20 13:06:00,3,2,3,323,Potential Loyalist,299.78,Spain
12557,16,5,11990.960000000001,2011-11-23 16:59:00,4,4,5,445,Champions,2398.192,Spain
12558,7,1,269.96,2011-12-02 10:41:00,5,1,2,512,New Customers,269.96,USA
12559,310,2,561.71,2011-02-02 09:49:00,1,2,3,123,Hibernating,280.855,Germany
12560,5,3,2134.01,2011-12-04 13:54:00,5,3,5,535,Potential Loyalist,711.3366666666667,Germany
12561,302,1,238.85,2011-02-10 11:39:00,1,1,1,111,Hibernating,238.85,Germany
12562,8,7,3781.7400000000002,2011-12-01 17:20:00,5,5,5,555,Champions,540.2485714285715,France
12564,261,1,456.9,2011-03-23 14:55:00,1,1,2,112,Hibernating,456.9,France
12565,288,1,145.92,2011-02-24 10:34:00,1,1,1,111,Hibernating,145.92,Saudi Arabia
12566,86,1,351.65,2011-09-14 14:30:00,2,1,2,212,Hibernating,351.65,Germany
12567,22,10,9401.28,2011-11-17 11:02:00,4,5,5,455,Champions,940.128,France
12569,2,32,4124.69,2011-12-07 16:24:00,5,5,5,555,Champions,128.8965625,Germany
12571,39,2,519.61,2011-10-31 10:19:00,3,2,3,323,Potential Loyalist,259.805,France
12572,8,2,1020.42,2011-12-01 09:20:00,5,2,4,524,New Customers,510.21,Germany
12573,227,1,160.54000000000002,2011-04-26 15:52:00,1,1,1,111,Hibernating,160.54000000000002,France
12574,315,1,218.45,2011-01-28 09:20:00,1,1,1,111,Hibernating,218.45,France
12576,35,5,1315.83,2011-11-04 10:11:00,3,4,4,344,Loyal,263.166,Poland
12577,35,3,626.6,2011-11-04 13:24:00,3,3,3,333,Potential Loyalist,208.86666666666667,France
12578,21,2,2794.51,2011-11-18 13:30:00,4,2,5,425,New Customers,1397.255,Italy
12579,78,1,440.42,2011-09-22 17:15:00,2,1,2,212,Hibernating,440.42,France
12580,246,1,415.7,2011-04-07 10:24:00,1,1,2,112,Hibernating,415.7,Germany
12581,39,1,197.71,2011-10-31 08:56:00,3,1,1,311,Potential Loyalist,197.71,Germany
12582,238,2,511.36,2011-04-15 08:45:00,1,2,3,123,Hibernating,255.68,Finland
12583,2,15,7281.38,2011-12-07 08:07:00,5,5,5,555,Champions,485.42533333333336,France
12584,3,9,2338.15,2011-12-06 09:35:00,5,5,5,555,Champions,259.7944444444445,Italy
12585,234,2,2040.1,2011-04-19 13:39:00,1,2,4,124,Hibernating,1020.05,Germany
12586,17,1,196.94000000000003,2011-11-22 16:24:00,4,1,1,411,New Customers,196.94000000000003,Italy
12587,7,1,144.0,2011-12-02 12:47:00,5,1,1,511,New Customers,144.0,Finland
12588,39,1,214.89999999999998,2011-10-31 15:01:00,3,1,1,311,Potential Loyalist,214.89999999999998,Finland
12589,28,2,646.68,2011-11-11 10:19:00,4,2,3,423,New Customers,323.34,France
12590,211,2,9864.26,2011-05-12 14:52:00,1,2,5,125,Hibernating,4932.13,Germany
12591,317,1,452.84999999999997,2011-01-26 14:35:00,1,1,2,112,Hibernating,452.84999999999997,Italy
12592,92,2,437.6,2011-09-08 15:04:00,2,2,2,222,Hibernating,218.8,Germany
12593,108,3,418.09999999999997,2011-08-23 12:43:00,2,3,2,232,Potential Loyalist,139.36666666666665,France
12594,37,10,3338.2200000000003,2011-11-02 12:20:00,3,5,5,355,Loyal,333.822,Italy
12596,51,2,618.27,2011-10-19 13:02:00,3,2,3,323,Potential Loyalist,309.135,Spain
12597,19,4,3811.22,2011-11-20 13:33:00,4,4,5,445,Champions,952.805,Spain
12598,9,8,3023.08,2011-11-30 12:18:00,5,5,5,555,Champions,377.885,France
12599,29,7,1032.58,2011-11-10 13:34:00,4,5,4,454,Champions,147.51142857142855,France
12600,28,10,2599.04,2011-11-11 10:29:00,4,5,5,455,Champions,259.904,Germany
12601,189,5,577.0600000000001,2011-06-03 10:17:00,1,4,3,143,At Risk but Loyal,115.412,Germany
12602,58,1,153.12,2011-10-12 11:22:00,3,1,1,311,Potential Loyalist,153.12,France
12603,21,1,739.1999999999999,2011-11-18 10:42:00,4,1,3,413,New Customers,739.1999999999999,Germany
12604,79,2,254.18,2011-09-21 14:08:00,2,2,2,222,Hibernating,127.09,France
12607,60,1,1579.51,2011-10-10 16:06:00,3,1,4,314,Potential Loyalist,1579.51,USA
12609,78,3,1126.85,2011-09-22 16:34:00,2,3,4,234,Potential Loyalist,375.6166666666666,Germany
12610,22,5,2099.54,2011-11-17 09:34:00,4,4,5,445,Champions,419.908,Italy
12611,52,1,1193.32,2011-10-18 13:12:00,3,1,4,314,Potential Loyalist,1193.32,Italy
12612,74,1,704.0400000000001,2011-09-26 15:35:00,2,1,3,213,Hibernating,704.0400000000001,Germany
12613,57,5,3344.38,2011-10-13 14:59:00,3,4,5,345,Loyal,668.876,Germany
12614,277,1,315.6,2011-03-07 10:22:00,1,1,2,112,Hibernating,315.6,Germany
12615,2,4,2291.19,2011-12-07 15:02:00,5,4,5,545,Champions,572.7975,France
12616,95,2,713.3,2011-09-05 15:17:00,2,2,3,223,Hibernating,356.65,France
12617,29,1,352.98,2011-11-10 14:39:00,4,1,2,412,New Customers,352.98,France
12618,21,1,177.31,2011-11-18 11:10:00,4,1,1,411,New Customers,177.31,Italy
12619,16,9,3641.24,2011-11-23 14:52:00,4,5,5,455,Champions,404.5822222222222,Germany
12620,14,3,1339.41,2011-11-25 10:20:00,4,3,4,434,Potential Loyalist,446.47,France
12621,1,20,13689.67,2011-12-08 11:25:00,5,5,5,555,Champions,684.4835,Germany
12622,232,1,180.1,2011-04-21 16:39:00,1,1,1,111,Hibernating,180.1,Germany
12623,276,1,305.1,2011-03-08 13:50:00,1,1,2,112,Hibernating,305.1,Germany
12624,106,2,641.13,2011-08-25 15:04:00,2,2,3,223,Hibernating,320.565,France
12625,211,2,2683.82,2011-05-12 09:54:00,1,2,5,125,Hibernating,1341.91,Germany
12626,23,9,6620.48,2011-11-16 16:06:00,4,5,5,455,Champions,735.6088888888888,Germany
12627,10,7,4478.53,2011-11-29 12:07:00,5,5,5,555,Champions,639.79,Germany
12628,4,3,786.46,2011-12-05 13:15:00,5,3,3,533,Potential Loyalist,262.15333333333336,Germany
12630,9,2,1270.88,2011-11-30 10:48:00,5,2,4,524,New Customers,635.44,Finland
12631,57,1,640.5,2011-10-13 13:53:00,3,1,3,313,Potential Loyalist,640.5,Finland
12633,58,4,2163.98,2011-10-12 11:40:00,3,4,5,345,Loyal,540.995,Germany
12635,89,2,1689.18,2011-09-11 11:04:00,2,2,4,224,Hibernating,844.59,Germany
12637,67,8,6002.9,2011-10-03 13:46:00,3,5,5,355,Loyal,750.3625,France
12638,33,1,671.69,2011-11-06 13:11:00,3,1,3,313,Potential Loyalist,671.69,Sweden
12639,238,1,486.1,2011-04-15 12:48:00,1,1,2,112,Hibernating,486.1,Sweden
12640,23,3,1174.58,2011-11-16 11:52:00,4,3,4,434,Potential Loyalist,391.52666666666664,France
12641,115,1,185.9,2011-08-16 13:26:00,2,1,1,211,Hibernating,185.9,Sweden
12642,25,3,1013.26,2011-11-14 15:03:00,4,3,4,434,Potential Loyalist,337.75333333333333,Germany
12643,128,6,3344.64,2011-08-03 12:56:00,2,5,5,255,At Risk but Loyal,557.4399999999999,France
12644,129,1,477.91,2011-08-02 10:33:00,2,1,2,212,Hibernating,477.91,Germany
12645,33,4,1775.18,2011-11-06 12:38:00,3,4,4,344,Loyal,443.795,Germany
12646,4,2,1346.97,2011-12-05 10:14:00,5,2,4,524,New Customers,673.485,USA
12647,22,12,3722.82,2011-11-17 12:56:00,4,5,5,455,Champions,310.235,Germany
12648,154,1,318.05,2011-07-08 11:55:00,2,1,2,212,Hibernating,318.05,Germany
12649,107,3,623.51,2011-08-24 14:41:00,2,3,3,233,Potential Loyalist,207.83666666666667,Germany
12650,3,1,314.44,2011-12-06 16:34:00,5,1,2,512,New Customers,314.44,France
12651,334,1,114.0,2011-01-09 12:46:00,1,1,1,111,Hibernating,114.0,France
12652,331,1,919.98,2011-01-12 15:00:00,1,1,3,113,Hibernating,919.98,France
12653,148,2,2209.85,2011-07-14 10:41:00,2,2,5,225,Hibernating,1104.925,Israel
12654,10,5,601.98,2011-11-29 10:10:00,5,4,3,543,Champions,120.396,Germany
12656,17,5,4051.17,2011-11-22 13:42:00,4,4,5,445,Champions,810.234,France
12657,11,4,1643.18,2011-11-28 15:47:00,5,4,4,544,Champions,410.795,France
12658,18,1,686.05,2011-11-21 10:22:00,4,1,3,413,New Customers,686.05,Germany
12659,29,1,91.68,2011-11-10 11:53:00,4,1,1,411,New Customers,91.68,France
12660,11,1,245.1,2011-11-28 13:26:00,5,1,1,511,New Customers,245.1,France
12662,0,11,3849.78,2011-12-09 11:59:00,5,5,5,555,Champions,349.98,Germany
12664,8,9,4881.88,2011-12-01 17:07:00,5,5,5,555,Champions,542.4311111111111,Finland
12665,324,1,63.0,2011-01-19 08:34:00,1,1,1,111,Hibernating,63.0,Germany
12667,58,1,620.13,2011-10-12 17:00:00,3,1,3,313,Potential Loyalist,620.13,Finland
12668,11,4,3807.15,2011-11-28 10:56:00,5,4,5,545,Champions,951.7875,Germany
12669,150,3,2744.0299999999997,2011-07-12 09:54:00,2,3,5,235,Potential Loyalist,914.6766666666666,France
12670,10,5,2996.05,2011-11-29 15:23:00,5,4,5,545,Champions,599.21,France
12672,329,1,225.89999999999998,2011-01-14 09:20:00,1,1,1,111,Hibernating,225.89999999999998,France
12673,5,2,610.52,2011-12-04 13:55:00,5,2,3,523,New Customers,305.26,Germany
12674,38,4,1970.6,2011-11-01 12:12:00,3,4,4,344,Loyal,492.65,France
12676,24,6,1331.39,2011-11-15 12:25:00,4,5,4,454,Champions,221.89833333333334,Sweden
12678,42,12,17628.46,2011-10-28 13:04:00,3,5,5,355,Loyal,1469.0383333333332,France
12679,58,4,1113.02,2011-10-12 12:30:00,3,4,4,344,Loyal,278.255,France
12680,0,4,862.81,2011-12-09 12:50:00,5,4,3,543,Champions,215.7025,France
12681,14,22,13787.54,2011-11-25 11:33:00,4,5,5,455,Champions,626.7063636363637,France
12682,3,31,12279.82,2011-12-06 10:00:00,5,5,5,555,Champions,396.1232258064516,France
12683,4,15,8476.57,2011-12-05 16:31:00,5,5,5,555,Champions,565.1046666666666,France
12684,7,7,2283.63,2011-12-02 09:53:00,5,5,5,555,Champions,326.23285714285714,France
12685,28,6,2863.08,2011-11-11 13:46:00,4,5,5,455,Champions,477.18,France
12686,371,1,89.14,2010-12-03 09:51:00,1,1,1,111,Hibernating,89.14,France
12688,113,1,4873.8099999999995,2011-08-18 08:49:00,2,1,5,215,Hibernating,4873.8099999999995,Israel
12689,25,2,1247.61,2011-11-14 08:31:00,4,2,4,424,New Customers,623.805,France
12690,205,1,389.01,2011-05-18 09:09:00,1,1,2,112,Hibernating,389.01,France
12691,28,6,1035.8,2011-11-11 16:49:00,4,5,4,454,Champions,172.63333333333333,France
12693,127,4,855.91,2011-08-04 17:51:00,2,4,3,243,At Risk but Loyal,213.9775,Germany
12694,70,2,869.67,2011-09-30 13:06:00,3,2,3,323,Potential Loyalist,434.835,France
12695,7,4,582.1,2011-12-02 13:22:00,5,4,3,543,Champions,145.525,France
12697,28,3,957.59,2011-11-11 08:47:00,4,3,4,434,Potential Loyalist,319.19666666666666,Sweden
12700,7,4,4939.99,2011-12-02 10:47:00,5,4,5,545,Champions,1234.9975,France
